辽宁联通组播,#genre#
西藏卫视,http://171.119.204.54:6001/rtp/226.0.2.66:8440
新疆卫视,http://171.119.204.54:6001/rtp/226.0.2.67:8448
CETV1,http://171.119.204.54:6001/rtp/226.0.2.68:8456
CETV2,http://171.119.204.54:6001/rtp/226.0.2.69:8464
CETV4,http://171.119.204.54:6001/rtp/226.0.2.70:8472
证券服务,http://171.119.204.54:6001/rtp/226.0.2.71:8480
中视购物,http://171.119.204.54:6001/rtp/226.0.2.72:8488
新动漫,http://171.119.204.54:6001/rtp/226.0.2.73:8496
东方财经HD,http://171.119.204.54:6001/rtp/226.0.2.76:8520
乐游HD,http://171.119.204.54:6001/rtp/226.0.2.77:8528
游戏风云HD,http://171.119.204.54:6001/rtp/226.0.2.78:8536
都市剧场HD,http://171.119.204.54:6001/rtp/226.0.2.81:8560
法治天地HD,http://171.119.204.54:6001/rtp/226.0.2.83:8576
生活时尚HD,http://171.119.204.54:6001/rtp/226.0.2.84:8584
CHC高清电影,http://171.119.204.54:6001/rtp/226.0.2.93:8004
CHC动作电影,http://171.119.204.54:6001/rtp/226.0.2.94:8012
重庆汽摩,http://171.119.204.54:6001/rtp/226.0.2.95:8672
武术世界HD,http://171.119.204.54:6001/rtp/226.0.2.97:8688
CETV早期教育HD,http://171.119.204.54:6001/rtp/226.0.2.99:8704
书画频道,http://171.119.204.54:6001/rtp/226.0.2.102:8728
中国天气,http://171.119.204.54:6001/rtp/226.0.2.103:8736
文物宝库HD,http://171.119.204.54:6001/rtp/226.0.2.110:8792
环球奇观,http://171.119.204.54:6001/rtp/226.0.2.111:8800
种养新影老故事,http://171.119.204.54:6001/rtp/226.0.2.112:8808
